option,accuracy,operations saved,total operations,% saved
"[6, 2, 6, 0, 61]",35.9,10030898,20160000,0.49756438492063493
"[6, 2, 6, 0, 62]",35.9,10030898,20160000,0.49756438492063493
"[6, 2, 6, 0, 63]",35.9,10030898,20160000,0.49756438492063493
"[6, 2, 6, 0, 64]",40.8,9966601,20160000,0.4943750496031746
"[6, 2, 6, 0, 65]",41.4,9918182,20160000,0.49197331349206347
"[6, 3, 6, 0, 65]",34.9,9729834,20160000,0.48263065476190475
"[6, 4, 6, 0, 65]",36.5,9456775,20160000,0.4690860615079365
"[6, 4, 6, 0, 66]",34.0,9418071,20160000,0.46716622023809523
"[6, 4, 6, 0, 67]",34.0,9418071,20160000,0.46716622023809523
"[6, 4, 6, 0, 68]",34.0,9418071,20160000,0.46716622023809523
"[6, 4, 6, 0, 69]",34.0,9418071,20160000,0.46716622023809523
"[6, 4, 6, 0, 70]",34.0,9418071,20160000,0.46716622023809523
"[6, 4, 6, 0, 71]",32.7,9373636,20160000,0.4649621031746032
"[6, 4, 6, 0, 72]",35.1,9325364,20160000,0.4625676587301587
"[6, 4, 6, 0, 73]",36.5,9374865,20160000,0.4650230654761905
"[6, 4, 6, 0, 74]",36.5,9374865,20160000,0.4650230654761905
"[6, 4, 6, 0, 75]",36.5,9374865,20160000,0.4650230654761905
"[6, 4, 6, 0, 76]",36.5,9374865,20160000,0.4650230654761905
"[6, 4, 6, 0, 77]",36.5,9374865,20160000,0.4650230654761905
"[6, 4, 6, 0, 78]",36.2,9308571,20160000,0.4617346726190476
"[6, 4, 6, 0, 79]",32.7,9303603,20160000,0.46148824404761907
"[6, 4, 6, 0, 80]",32.7,9303603,20160000,0.46148824404761907
"[6, 4, 6, 0, 81]",32.7,9303603,20160000,0.46148824404761907
"[6, 4, 6, 0, 82]",32.7,9303603,20160000,0.46148824404761907
"[6, 4, 6, 0, 83]",32.7,9303603,20160000,0.46148824404761907
"[6, 4, 6, 0, 84]",36.1,9287081,20160000,0.4606687003968254
"[6, 4, 6, 0, 85]",35.1,9262227,20160000,0.4594358630952381
"[6, 4, 6, 0, 86]",35.1,9262227,20160000,0.4594358630952381
"[6, 4, 6, 0, 87]",35.1,9262227,20160000,0.4594358630952381
"[6, 4, 6, 0, 88]",35.1,9262227,20160000,0.4594358630952381
"[6, 4, 6, 0, 89]",35.1,9262227,20160000,0.4594358630952381
"[6, 4, 6, 0, 90]",36.2,9247833,20160000,0.458721875
"[6, 4, 6, 0, 91]",36.2,9247833,20160000,0.458721875
"[6, 4, 6, 0, 92]",36.2,9247833,20160000,0.458721875
"[6, 4, 6, 0, 93]",36.2,9247833,20160000,0.458721875
"[6, 4, 6, 0, 94]",36.2,9247833,20160000,0.458721875
"[6, 4, 6, 0, 95]",36.1,9229413,20160000,0.4578081845238095
"[6, 4, 6, 0, 96]",36.1,9229413,20160000,0.4578081845238095
"[6, 4, 6, 0, 97]",36.1,9229413,20160000,0.4578081845238095
"[6, 4, 6, 0, 98]",36.1,9229413,20160000,0.4578081845238095
"[6, 4, 6, 0, 99]",36.1,9229413,20160000,0.4578081845238095
"[6, 4, 6, 0, 100]",38.2,9156747,20160000,0.45420372023809524
"[6, 4, 6, 0, 101]",37.9,9109383,20160000,0.4518543154761905
"[6, 4, 6, 0, 102]",39.1,9076383,20160000,0.4502174107142857
"[6, 4, 6, 0, 103]",39.5,9104793,20160000,0.4516266369047619
"[6, 5, 6, 0, 103]",37.2,9186430,20160000,0.45567609126984127
"[6, 6, 6, 0, 103]",36.7,9171435,20160000,0.45493229166666665
"[7, 6, 6, 0, 103]",39.2,9167064,20160000,0.4547154761904762
